City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Mariental,NA,2022-02-11 22:38:51,-24.6333,17.9667,75.6,60,100,11.99
146,Hithadhoo,MV,2022-02-11 22:38:51,-0.6,73.0833,81.12,72,100,9.26
147,Varhaug,NO,2022-02-11 22:38:52,58.6147,5.6457,42.35,77,76,21.23
148,Mangaldai,IN,2022-02-11 22:38:52,26.4333,92.0333,55.31,75,82,5.21
149,Carbonia,IT,2022-02-11 22:38:52,39.1672,8.5222,46.0,85,68,5.75
150,Ribeira Brava,PT,2022-02-11 22:38:52,32.65,-17.0667,65.03,80,26,4.05
151,Altamira,BR,2022-02-11 22:38:53,-3.2033,-52.2064,73.65,96,98,1.79
152,Kathu,TH,2022-02-11 22:38:53,7.9178,98.3332,79.63,79,56,9.17
153,Santa Maria,BR,2022-02-11 22:38:53,-29.6842,-53.8069,79.9,69,40,8.05
154,Tromso,NO,2022-02-11 22:38:54,69.6496,18.957,26.62,86,100,13.8
155,Rokytne,UA,2022-02-11 22:38:54,51.2796,27.214,32.31,99,100,9.37
156,Izumo,JP,2022-02-11 22:38:54,35.3667,132.7667,31.95,93,75,4.61
157,Tingo Maria,PE,2022-02-11 22:38:54,-9.2895,-76.0088,74.1,94,98,1.3
158,Cardston,CA,2022-02-11 22:38:55,49.2,-113.3019,35.89,44,59,4.61
159,Geel,BE,2022-02-11 22:38:55,51.1661,4.9919,34.77,87,5,3.44
160,Changli,CN,2022-02-11 22:38:55,39.7042,119.1506,25.39,52,53,9.13
161,Tacuarembo,UY,2022-02-11 22:38:56,-31.7333,-55.9833,88.57,25,100,11.97
162,Puerto Escondido,MX,2022-02-11 22:38:56,15.85,-97.0667,85.03,70,40,11.5
163,Miyako,JP,2022-02-11 22:38:56,39.6367,141.9525,32.07,72,38,2.26
164,De-Kastri,RU,2022-02-11 22:38:56,51.4667,140.7833,19.63,96,100,3.74
165,Saint-Denis,FR,2022-02-11 22:38:57,48.9167,2.3333,39.11,84,0,4.61
166,Maniitsoq,GL,2022-02-11 22:38:57,65.4167,-52.9,28.15,97,100,16.24
167,Fuengirola,ES,2022-02-11 22:38:57,36.54,-4.6247,56.84,91,75,0.0
168,College,US,2022-02-11 22:37:59,64.8569,-147.8028,6.22,75,75,6.91
169,Clyde River,CA,2022-02-11 22:38:58,70.4692,-68.5914,-16.37,76,100,33.38
170,Kibala,TD,2022-02-11 22:38:58,9.1104,18.3463,80.55,22,0,6.91
171,New Norfolk,AU,2022-02-11 22:38:58,-42.7826,147.0587,61.92,46,23,1.57
172,Port Lincoln,AU,2022-02-11 22:38:58,-34.7333,135.8667,68.88,64,0,14.16
173,Westport,US,2022-02-11 22:38:59,41.1415,-73.3579,51.94,62,0,8.05
174,Tyukhtet,RU,2022-02-11 22:38:59,56.5389,89.3011,-12.75,97,5,5.75
175,Yar-Sale,RU,2022-02-11 22:38:59,66.8333,70.8333,-0.94,82,100,16.8
176,Flinders,AU,2022-02-11 22:38:59,-34.5833,150.8552,69.21,87,100,8.01
177,Bulgan,MN,2022-02-11 22:39:00,48.8125,103.5347,-15.5,98,56,3.06
178,Vardo,NO,2022-02-11 22:39:00,70.3705,31.1107,31.75,86,75,27.63
179,Belmonte,BR,2022-02-11 22:39:00,-15.8631,-38.8828,81.1,83,26,5.66
180,Luga,RU,2022-02-11 22:39:01,58.7372,29.8453,20.91,96,49,7.45
181,Mahebourg,MU,2022-02-11 22:39:01,-20.4081,57.7,75.25,94,20,4.61
182,Kodiak,US,2022-02-11 22:39:02,57.79,-152.4072,38.71,87,100,5.75
183,Saint George,US,2022-02-11 22:39:02,37.1041,-113.5841,73.44,17,0,6.91
184,Arinos,BR,2022-02-11 22:39:02,-15.9169,-46.1056,73.02,85,92,2.46
185,Quang Ngai,VN,2022-02-11 22:36:55,15.1167,108.8,72.73,88,100,0.78
186,Tuatapere,NZ,2022-02-11 22:39:02,-46.1333,167.6833,56.82,61,58,12.33
187,Ulladulla,AU,2022-02-11 22:39:03,-35.35,150.4667,68.77,83,97,10.11
188,Kutahya,TR,2022-02-11 22:40:03,39.4242,29.9833,28.35,67,0,3.6
189,Crossgates,GB,2022-02-11 22:40:03,56.0667,-3.3833,42.75,85,75,16.11
190,Kahului,US,2022-02-11 22:40:04,20.8947,-156.47,85.26,64,20,12.66
191,Andijon,UZ,2022-02-11 22:40:04,40.7821,72.3442,43.88,65,100,4.61
192,Leopold,AU,2022-02-11 22:40:04,-38.1833,144.4667,69.57,80,56,17.27
193,Taikang,CN,2022-02-11 22:40:05,46.8333,124.4167,-8.79,100,48,4.43
194,Maralal,KE,2022-02-11 22:40:05,1.0968,36.698,59.16,70,25,6.06
195,Cherkasskoye,RU,2022-02-11 22:40:05,52.4333,47.2167,27.84,98,100,4.61
196,Namibe,AO,2022-02-11 22:40:05,-15.1961,12.1522,75.83,83,91,1.74
197,Morondava,MG,2022-02-11 22:40:06,-20.2833,44.2833,80.13,83,86,1.57
198,Lingao,CN,2022-02-11 22:40:06,19.9103,109.6859,67.33,86,85,8.25
199,Hirara,JP,2022-02-11 22:40:06,24.8,125.2833,66.47,88,75,6.91
200,San Rafael Del Sur,NI,2022-02-11 22:40:07,11.8485,-86.4384,90.57,48,15,15.08
