City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Ballina,AU,-28.8667,153.5667,73.78,78,75,9.22,broken clouds
207,Ternate,ID,0.8,127.4,81.52,74,100,2.8,overcast clouds
208,Sabratah,LY,32.7933,12.4885,54.97,63,25,9.4,scattered clouds
209,Upernavik,GL,72.7868,-56.1549,-6.43,97,100,11.52,overcast clouds
210,Raga,SS,8.4596,25.678,68.9,15,16,3.38,few clouds
211,Kavaratti,IN,10.5669,72.642,80.46,72,0,6.67,clear sky
212,Kudahuvadhoo,MV,2.6708,72.8944,81.36,75,97,7.96,overcast clouds
213,Iqaluit,CA,63.7506,-68.5145,-16.31,68,100,3.44,light snow
214,Deputatskiy,RU,69.3,139.9,-11.25,94,100,4.85,overcast clouds
215,Esperance,AU,-33.8667,121.9,67.84,65,100,12.41,light rain
216,Koslan,RU,63.4564,48.8989,-0.78,100,91,3.53,overcast clouds
217,Gwadar,PK,25.1216,62.3254,69.78,70,33,3.33,scattered clouds
218,Aloleng,PH,16.1307,119.7824,81.5,71,17,10.2,few clouds
219,Tabou,CI,4.423,-7.3528,76.6,89,84,2.91,light rain
220,Nizhniy Tsasuchey,RU,50.5167,115.1333,-16.11,97,80,4.27,broken clouds
221,Hollola,FI,61.05,25.4333,33.03,97,100,10.0,overcast clouds
222,Lagoa,PT,39.05,-27.9833,56.64,59,100,4.38,overcast clouds
223,Cayenne,GF,4.9333,-52.3333,80.1,84,100,3.0,overcast clouds
224,Aden,YE,12.7794,45.0367,75.87,70,6,7.92,clear sky
225,Birao,CF,10.2849,22.7882,69.58,13,93,8.12,overcast clouds
226,Adrar,MR,20.5022,-10.0711,60.57,23,91,10.6,overcast clouds
227,Samarai,PG,-10.6167,150.6667,82.99,69,50,6.93,scattered clouds
228,Sarkand,KZ,45.41,79.9186,25.5,78,100,4.27,overcast clouds
229,Loikaw,MM,19.6742,97.2094,57.24,34,37,2.17,scattered clouds
230,Annau,TM,37.8876,58.516,42.3,93,100,20.71,overcast clouds
231,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,40,9.22,light rain
232,Whitianga,NZ,-36.8333,175.7,67.77,63,40,4.7,scattered clouds
233,Chokurdakh,RU,70.6333,147.9167,-13.34,96,87,8.46,overcast clouds
234,San Cristobal,VE,7.7669,-72.225,73.58,76,100,0.94,overcast clouds
235,Paraiso,CR,9.8383,-83.8656,68.86,89,93,5.55,overcast clouds
236,Shenjiamen,CN,29.9576,122.298,44.56,72,1,17.25,clear sky
237,Tatishchevo,RU,51.6703,45.5953,18.36,96,50,8.55,scattered clouds
238,Vichuga,RU,57.2128,41.9301,24.96,94,100,10.45,light snow
239,Pallasovka,RU,50.05,46.8833,14.94,95,76,7.99,broken clouds
240,Faya,SA,18.3851,42.4509,48.72,61,10,1.23,clear sky
241,Sambava,MG,-14.2667,50.1667,73.6,93,25,4.59,scattered clouds
242,Prince Rupert,CA,54.3161,-130.3201,46.49,81,100,9.22,overcast clouds
243,Vestmannaeyjar,IS,63.4427,-20.2734,34.68,73,100,31.09,overcast clouds
244,Gisborne,NZ,-38.6533,178.0042,60.94,70,22,15.64,few clouds
245,Egvekinot,RU,66.3167,-179.1667,-15.84,90,17,5.84,few clouds
246,Bastia,FR,42.6667,9.3333,49.3,84,0,4.61,clear sky
247,Flin Flon,CA,54.7682,-101.865,3.04,72,75,12.66,broken clouds
248,Tasiilaq,GL,65.6145,-37.6368,20.64,93,100,18.79,light snow
249,Mount Gambier,AU,-37.8333,140.7667,71.51,60,75,9.22,broken clouds
250,Novoilinsk,RU,51.6829,108.7143,-19.01,98,26,2.77,scattered clouds
251,Dikson,RU,73.5069,80.5464,-5.19,87,100,23.71,overcast clouds
252,Nampula,MZ,-15.1165,39.2666,69.76,99,99,0.27,overcast clouds
253,Waipawa,NZ,-41.4122,175.5153,59.45,68,100,13.0,overcast clouds
254,Lavrentiya,RU,65.5833,-171.0,-17.21,92,14,2.42,few clouds
255,Axim,GH,4.8699,-2.2405,78.33,86,100,6.38,overcast clouds
256,Hualmay,PE,-11.0964,-77.6139,71.76,79,99,10.04,overcast clouds
257,Sadao,TH,6.6388,100.4234,81.61,80,65,3.24,broken clouds
258,Payson,US,40.0444,-111.7321,49.75,27,0,5.75,clear sky
259,Linxia,CN,35.6003,103.2064,14.81,81,75,1.97,broken clouds
260,Te Anau,NZ,-45.4167,167.7167,66.63,46,100,0.94,overcast clouds
261,Port Lincoln,AU,-34.7333,135.8667,71.33,70,18,11.72,few clouds
262,Tutoia,BR,-2.7619,-42.2744,82.38,84,21,13.82,moderate rain
263,Marshfield,US,44.6689,-90.1718,8.33,43,0,0.0,clear sky
264,Lujan,AR,-34.5703,-59.105,74.98,64,0,5.97,clear sky
265,Huaihua,CN,27.5494,109.9592,44.51,79,44,0.2,scattered clouds
266,Hirara,JP,24.8,125.2833,66.06,88,75,26.46,broken clouds
267,Korla,CN,41.7597,86.1469,26.51,52,8,3.67,clear sky
268,Khatanga,RU,71.9667,102.5,-27.17,100,43,1.88,scattered clouds
269,Camacha,PT,33.0833,-16.3333,57.96,72,20,2.3,few clouds
270,Noumea,NC,-22.2763,166.4572,91.38,99,100,13.4,overcast clouds
271,Tuatapere,NZ,-46.1333,167.6833,68.83,50,100,4.65,overcast clouds
272,Pangnirtung,CA,66.1451,-65.7125,-35.1,92,74,6.02,broken clouds
273,Lantawan,PH,10.6167,123.9833,78.49,77,100,7.31,overcast clouds
274,Nagua,DO,19.3832,-69.8474,77.05,83,20,0.0,few clouds
275,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,38,11.9,scattered clouds
276,Kavieng,PG,-2.5744,150.7967,83.53,73,86,7.27,light rain
277,Evensk,RU,61.95,159.2333,4.03,71,13,9.42,few clouds
278,Petropavlovka,RU,50.6114,105.3196,-10.8,97,100,1.01,overcast clouds
279,Yalta,UA,44.5,34.1667,35.92,72,100,12.46,overcast clouds
280,Erzincan,TR,39.75,39.5,21.04,75,100,4.0,overcast clouds
281,Cidreira,BR,-30.1811,-50.2056,68.54,90,14,2.98,few clouds
282,Alamosa,US,37.4695,-105.87,38.71,53,0,4.07,clear sky
283,Wagar,SD,16.1525,36.2032,66.67,66,100,12.28,overcast clouds
284,Ahuimanu,US,21.4447,-157.8378,79.75,57,20,12.66,few clouds
285,Uruzgan,AF,32.8333,66.0,40.68,61,85,5.21,overcast clouds
286,Agadez,NE,19.75,10.25,59.4,16,0,4.81,clear sky
287,Laguna,US,38.421,-121.4238,78.62,36,0,5.75,clear sky
288,Starychi,UA,49.98,23.5585,32.14,73,0,7.67,clear sky
289,Saint-Louis,SN,16.3333,-15.0,73.04,17,96,10.02,overcast clouds
290,Visnes,NO,59.3556,5.2242,42.57,87,100,14.97,light rain
291,Bonthe,SL,7.5264,-12.505,77.29,90,8,3.83,clear sky
292,Ulaangom,MN,49.9811,92.0667,-29.96,96,93,2.93,overcast clouds
293,Biltine,TD,14.5333,20.9167,72.93,11,100,16.53,overcast clouds
294,Oga,IT,46.4631,10.347,20.7,92,37,4.27,scattered clouds
295,Tiznit,MA,29.5833,-9.5,53.2,49,0,3.47,clear sky
296,Lompoc,US,34.6391,-120.4579,78.94,64,0,9.22,clear sky
297,Namibe,AO,-15.1961,12.1522,74.12,83,100,1.43,overcast clouds
298,Thinadhoo,MV,0.5333,72.9333,81.61,73,97,9.26,overcast clouds
299,Manta,EC,-0.95,-80.7333,78.58,83,75,3.44,broken clouds
300,San Patricio,US,28.017,-97.5169,59.09,32,85,4.61,overcast clouds
301,Antofagasta,CL,-23.65,-70.4,68.0,81,89,5.77,overcast clouds
302,Kamenka,RU,51.3223,42.7678,7.03,97,83,7.29,broken clouds
303,Kidal,ML,18.4411,1.4078,66.24,15,1,12.01,clear sky
304,Waddan,LY,29.1614,16.139,50.72,48,0,9.37,clear sky
305,Diamantino,BR,-14.4086,-56.4461,72.59,96,100,2.93,moderate rain
306,Yangjiang,CN,21.85,111.9667,60.94,75,5,8.34,clear sky
307,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,16.11,scattered clouds
308,Moerai,PF,-22.4333,-151.3333,79.57,73,99,12.84,overcast clouds
309,Ponte De Sor,PT,39.2496,-8.0101,49.68,97,18,4.68,few clouds
310,Coihaique,CL,-45.5752,-72.0662,68.61,48,0,3.44,clear sky
311,Cascais,PT,38.6979,-9.4215,55.06,71,0,20.0,clear sky
312,Sharjah,AE,25.3573,55.4033,62.58,63,20,5.75,few clouds
313,Iskateley,RU,67.6803,53.1512,-1.75,98,30,9.75,scattered clouds
314,Nanchang,CN,28.6833,115.8833,46.99,73,99,3.49,overcast clouds
315,Berberati,CF,4.2612,15.7922,69.08,28,100,2.24,overcast clouds
316,Semporna,MY,4.4818,118.6112,79.0,73,82,6.38,broken clouds
